"Column","Row2","SampleID","Crop","GrainWeight","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Logitude","Latitude","ResidueWeight","Notes","Year","FieldID"
6,"G","GPHY14_GB_A1_149_6-G","GB",538,,,,,,149,-117.087103,46.780422,1400," |  | ",2014,"CookEast"
7,"G","GPHY14_GB_A2_150_7-G","GB",380,,,,,,150,-117.086685,46.780507,832," |  | ",2014,"CookEast"
8,"G","GPHY14_GB_A3_151_8-G","GB",328,,,,,,151,-117.08622506,46.78045544,," |  | ",2014,"CookEast"
9,"G","GPHY14_GB_A4_152_9-G","GB",222,,,,,,152,-117.08583327,46.78037122,645,"MOUSE DAMAGE TO SAMPLE |  | ",2014,"CookEast"
10,"G","GPHY14_GB_A4_153_10-G","GB",212,,,,,,153,-117.085431,46.7805,," |  | ",2014,"CookEast"
11,"G","CF14GPSWGrn_A5_154_11-G","SW",1038,11.4,6.7,70.2,25.5,55.2,154,-117.085013,46.780348,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
12,"G","CF14GPSWGrn_A6_155_12-G","SW",622,10.7,6.4,72.8,23.4,54.8,155,-117.084595,46.780437,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
13,"G","CF14GPWW_155_13-G","WW",892,9.8,9.7,69.3,25.4,43.2,156,-117.084177,46.78039,2192," |  | ",2014,"CookEast"
14,"G","CF14GPWW_156_14-G","WW",865,10.1,8.3,71.3,25.9,50.5,157,-117.083759,46.780453,1793," |  | ",2014,"CookEast"
15,"G","CF14GPWW_157_15-G","WW",848,10.4,9.2,70.9,26.6,45.6,158,-117.083341,46.780374,1819," |  | ",2014,"CookEast"
16,"G","CF14GPWW_158_16-G","WW",945,11.7,8.1,67,31.1,41.5,159,-117.082923,46.780443,1703," |  | ",2014,"CookEast"
17,"G","CF14GPWW_159_17-G","WW",1058,12.3,8.9,67.5,32.4,47.6,160,-117.082505,46.78048,2021," |  | ",2014,"CookEast"
18,"G","CF14GPWW_160_18-G","WW",999,9.5,8.6,72.8,24.3,49.5,161,-117.082087,46.780282,2041," |  | ",2014,"CookEast"
19,"G","CF14GPWW_161_19-G","WW",925,11.2,7.7,66.8,28.9,40.5,162,-117.08164513,46.78040873,2816," |  | ",2014,"CookEast"
