HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,Comments
2012,WW,GPHY12_WW_A4_351_14-O,-117.083363,46.782741,351,,10.7,8.1,75.7,28.1, | Sample note: mice
2012,WW,GPHY12_WW_A5_352_15-O,-117.08291879,46.78264763,352,,10.4,8.2,75.9,26.6,""
2012,WW,GPHY12_WW_A5_353_16-O,-117.082527,46.782731,353,,11,8.5,75.4,29.4,""
2012,WW,GPHY12_WW_A6_354_17-O,-117.082109,46.782768,354,,10.4,8,75,26.9,""
2012,SW,GPHY12_SW_B1_355_18-O,-117.081691,46.78257,355,,,,,,""
2012,SW,GPHY12_SW_B2_356_19-O,-117.081273,46.782709,356,,9,9.2,75.1,23.2,""
2012,SW,GPHY12_SW_B2_357_20-O,-117.080855,46.782711,357,,10,9.5,72.5,27.3,""
2012,WW,GPHY12_WW_B4_358_21-O,-117.08041408,46.78255608,358,,,,,,""
2012,WW,GPHY12_WW_B4_359_22-O,-117.080019,46.78283,359,,9.4,9,75.4,24.5, | Sample note: mice
2012,SB,GPHY12_SB_B5_360_23-O,-117.079601,46.782801,360,,9.2,9.2,67.8,,""
2012,WW,GPHY12_WW_A1_371_12-P,-117.08422983,46.78296597,371,,13.3,7.7,70.4,,""
2012,WW,GPHY12_WW_A2_372_13-P,-117.083798,46.782964,372,,11.4,7.8,73.8,29.6,""
2012,WW,GPHY12_WW_A3_373_14-P,-117.08338,46.783027,373,,10.5,8.4,75.8,27.7,""
2012,WW,GPHY12_WW_A4_374_15-P,-117.082962,46.782948,374,,11.9,8.4,73.3,32.1,""
2012,WW,GPHY12_WW_A5_375_16-P,-117.08252827,46.78300622,375,,,,,,""
2012,WW,GPHY12_WW_A5_376_17-P,-117.082126,46.783054,376,,9.9,8.2,76.5,25,""
2012,SW,GPHY12_SW_B1_377_18-P,-117.08165033,46.78282132,377,,9.3,9.5,73.8,24.9,""
2012,SW,GPHY12_SW_B1_378_19-P,-117.08129,46.782995,378,,8.3,9.4,75,21,""
2012,SW,GPHY12_SW_B2_379_20-P,-117.080872,46.782997,379,,9.6,9.4,72.9,25.6, | Sample note: mice
2012,SW,GPHY12_SW_B3_380_21-P,-117.080454,46.782853,380,,8.7,9.6,74.2,22.3,""
2012,SW,GPHY12_SW_B3_381_22-P,-117.080036,46.783116,381,,11.2,10.1,70.9,31.1,""
2012,WW,GPHY12_WW_A2_394_13-Q,-117.08390985,46.78312585,394,,10.3,8.5,75.5,26.6,""
2012,WW,GPHY12_WW_A2_395_14-Q,-117.083498,46.783313,395,,11.2,8.1,74.8,28.9,""
2012,WW,GPHY12_WW_A3_396_15-Q,-117.08308,46.783234,396,,8.8,8.4,76.9,21.3,""
2012,WW,GPHY12_WW_A4_397_16-Q,-117.082662,46.783303,397,,10,8.4,75.9,26.1, | Sample note: mice
2012,WW,GPHY12_WW_A4_398_17-Q,-117.08227546,46.78335797,398,,9.9,8.2,76.7,24.8,""
2012,WW,GPHY12_WW_A6_399_18-Q,-117.081826,46.783142,399,,9.3,8.4,77.5,22.9,""
2012,WW,GPHY12_WW_A6_400_19-Q,-117.081408,46.783281,400,,9.8,8.6,76.5,25,""
2012,SW,GPHY12_SW_B1_401_20-Q,-117.08099,46.783283,401,,8.9,9.3,73.8,22.9,""
2012,SW,GPHY12_SW_B2_402_21-Q,-117.080572,46.783139,402,,8.5,9.3,75.1,21.7,""
2012,WW,GPHY12_WW_A2_419_15-R,-117.08321056,46.7834571,419,,10.7,8.1,75.7,28,""
2012,WW,GPHY12_WW_A3_420_16-R,-117.08277087,46.78351532,420,,12.4,8.6,70.7,33.6,""
2012,WW,GPHY12_WW_A4_421_17-R,-117.08236678,46.78355231,421,,9.4,8.3,77.4,23.3,""
2012,WW,GPHY12_WW_A5_422_18-R,-117.081933,46.783428,422,,8.7,8.2,77.6,20.8, | Sample note: mice
2012,WW,GPHY12_WW_A6_423_19-R,-117.08148355,46.78355263,423,,,,,,""
2012,WW,GPHY12_WW_A6_424_20-R,-117.081097,46.783569,424,,,,,,""
2012,SW,GPHY12_SW_B1_425_21-R,-117.080679,46.783425,425,,,,,,""
